id	filename	md5	size	state
00bd9ce5-69ed-450d-a57f-32cb989849b6	00bd9ce5-69ed-450d-a57f-32cb989849b6/b14ad58e-4740-4c4f-83ff-7535efe6a055.FPKM-UQ.txt.gz	a33afb1726fea18451455d795d7547b3	502803	validated
051180d0-2d80-4c66-8587-902e2fe313de	051180d0-2d80-4c66-8587-902e2fe313de/98a25752-dd33-41b0-883f-3ca9cded5c34.FPKM-UQ.txt.gz	77f25232b34445160607b10506938f1f	536736	validated
05a98d26-cd6c-4f6c-8ca3-f7c8bf6a69d7	05a98d26-cd6c-4f6c-8ca3-f7c8bf6a69d7/c642e018-f0cb-4be8-9b19-c944f1daf9cf.FPKM-UQ.txt.gz	d7aebb9a4559a1df2580feb6c75d312f	503843	validated
069a0d76-85ef-4efb-a401-c368b1e0ded4	069a0d76-85ef-4efb-a401-c368b1e0ded4/480de2f2-6f01-43e9-bc1b-77b8ec8451f5.FPKM-UQ.txt.gz	655e99d82cf1e2c1f62e679adea8bd50	541865	validated
099a253b-b739-4495-b920-ed0211d6fa61	099a253b-b739-4495-b920-ed0211d6fa61/00faf8ba-ff90-4214-9d03-6c5e14645d8f.FPKM-UQ.txt.gz	b90e603b7f861980b815eb95c2a84734	520681	validated
0a8261fb-f749-4726-b22b-3bcb1798349f	0a8261fb-f749-4726-b22b-3bcb1798349f/c3a3b1ec-1d61-4afd-bf06-3a036894bf39.FPKM-UQ.txt.gz	afa69fcf380d9b1e32c4724523683c5d	512500	validated
16007b6b-21c1-41d8-a5d0-b8f7d3552ded	16007b6b-21c1-41d8-a5d0-b8f7d3552ded/6cfd5f67-1006-48e5-a406-63b7d7ed9828.FPKM-UQ.txt.gz	012a4704c0577b00182f79e3487aa4a9	522568	validated
18e39848-152b-4cd4-bc23-e8c3d5ffd359	18e39848-152b-4cd4-bc23-e8c3d5ffd359/38fa431c-aaff-44ef-a28a-3a6bdd4688d1.FPKM-UQ.txt.gz	abb80b8af15733a832abb7158c12dc54	504079	validated
1a08a03c-1a73-46eb-9cea-855e727bcf86	1a08a03c-1a73-46eb-9cea-855e727bcf86/08b04038-cfb4-4a4c-9e20-1585a4af6826.FPKM-UQ.txt.gz	f1c3978eee433a0fd49fc662a0e18666	511492	validated
1a0b364b-72f0-4df3-972b-f9d88ecea0f5	1a0b364b-72f0-4df3-972b-f9d88ecea0f5/1548c36f-d41c-4ebe-a86c-66cbc65af67b.FPKM-UQ.txt.gz	96a24e1114f5b791003ea722b3ff0354	538681	validated
1aa46c1b-b4c4-4ab5-bd3f-f6a06b7fcabd	1aa46c1b-b4c4-4ab5-bd3f-f6a06b7fcabd/26a18ff4-ac77-47e8-9ef8-da442ac1325d.FPKM-UQ.txt.gz	22511b59a7714a5d56167067aa18ecb1	532543	validated
1c4a5c34-a774-4f05-a427-701b3c580ce7	1c4a5c34-a774-4f05-a427-701b3c580ce7/8a799dfa-c1b5-4b13-9c91-6cbfe2abbc9f.FPKM-UQ.txt.gz	329c4f15b5ff64befcbafd15e95187f9	545873	validated
1e0be26b-da47-4e56-926c-9afc259a2bd0	1e0be26b-da47-4e56-926c-9afc259a2bd0/27f41c98-3658-48c9-a257-d9ecad3276c8.FPKM-UQ.txt.gz	23b40da735dd52e9867927e253b7b135	528102	validated
202e2937-33e0-4c9c-9cf5-e64dc5be57f6	202e2937-33e0-4c9c-9cf5-e64dc5be57f6/aab761be-87c9-41a2-99b8-8bed9032333c.FPKM-UQ.txt.gz	7ef2deb1ad808b149393ef1c716ed149	525815	validated
218bb616-27c9-467f-bf15-e7d9f5723341	218bb616-27c9-467f-bf15-e7d9f5723341/87c17703-72c7-4207-8935-3391f207f4a6.FPKM-UQ.txt.gz	fc4b40001065771ab08aef3c2561b6ec	518681	validated
218fe886-29af-4eaf-8fad-89245764f477	218fe886-29af-4eaf-8fad-89245764f477/388fca1d-5282-41cc-b638-dfdf54249dbd.FPKM-UQ.txt.gz	7c634b5b42d068b5e4122e609f3bfd92	532054	validated
2382937f-4dc4-4f17-b0dc-d0956020295d	2382937f-4dc4-4f17-b0dc-d0956020295d/bb15d7d0-8705-49af-89e4-fc13c01de642.FPKM-UQ.txt.gz	abc360bb6cfe6b1eba57ae0b17d34446	533373	validated
24e2d0cf-7442-4ad0-bfde-23cec1dbbc80	24e2d0cf-7442-4ad0-bfde-23cec1dbbc80/fef65b57-c58d-4050-8de4-f09f5cd616ce.FPKM-UQ.txt.gz	6822b1c79e221fcfbb91819469ed13fb	525624	validated
26239001-3fb3-440f-a89f-7595ecb29231	26239001-3fb3-440f-a89f-7595ecb29231/548f36c1-215a-4b7b-97fc-e9523f6aeb6d.FPKM-UQ.txt.gz	2800f4d46ae00c4793db0e7f251252f7	519137	validated
2803abb9-bf21-4b75-a3c9-687c87b75701	2803abb9-bf21-4b75-a3c9-687c87b75701/2132e4b3-f882-4d05-9cb6-be9a24c510c0.FPKM-UQ.txt.gz	94e1c8501c2b0120c5ca238dcaffb500	496856	validated
29e94791-ed36-48c1-825f-ae2d402c5b8e	29e94791-ed36-48c1-825f-ae2d402c5b8e/b6d23de9-99bf-4412-b022-bab1332165bf.FPKM-UQ.txt.gz	bf997190071497169a3b18dbe3518a12	536877	validated
3332d0e9-cff5-4c8b-a57c-6e6ab7bde420	3332d0e9-cff5-4c8b-a57c-6e6ab7bde420/09a677f2-d81d-4c3f-adf9-f8594e064e44.FPKM-UQ.txt.gz	0b2f70e111132aa1aeed46edbad18583	485910	validated
33349f47-9ce7-4c78-807c-b2afb36dabb2	33349f47-9ce7-4c78-807c-b2afb36dabb2/f6bd7191-a820-4d86-927a-b4b5f88ebd67.FPKM-UQ.txt.gz	f48d9a68142accf6621e9812601d6459	522245	validated
